ui_region,ui_region_name,kto_content_type_id,kto_content_type_name,ui_category,place_count,pet_known_count,pet_known_pct,snapshot_sha256,design_version
jeju_city,제주시,28,레포츠,spot,16,0,0.0,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
west,서부 (애월),28,레포츠,spot,16,1,6.25,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
west,서부 (안덕),32,숙박,stay,14,0,0.0,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
west,서부 (안덕),39,음식점,food,14,0,0.0,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
east,동부 (표선),39,음식점,food,12,0,0.0,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
west,서부 (애월),38,쇼핑,spot,11,7,63.64,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
east,동부 (성산),28,레포츠,spot,10,0,0.0,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
east,동부 (구좌),38,쇼핑,spot,10,5,50.0,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
west,서부 (한림),32,숙박,stay,10,0,0.0,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
east,동부 (조천),14,문화시설,spot,9,1,11.11,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
east,동부 (표선),28,레포츠,spot,9,0,0.0,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
east,동부 (조천),32,숙박,stay,9,0,0.0,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
