rank,placeId,name,municipality,ui_region,ui_region_name,kto_content_type_id,kto_content_type_name,ui_category,pet_information_status,basic_score,pet_score,total_score,filled_useful_fields,total_useful_fields,fullness_pct,pet_details_summary,has_name,value_name,has_kto_content_type,value_kto_content_type,has_address,value_address,has_address_detail,value_address_detail,has_coordinates,value_coordinates,has_phone,value_phone,has_image,value_image,has_short_description,value_short_description,has_full_description,value_full_description,has_parking_info,value_parking_info,has_business_hours,value_business_hours,has_closed_days,value_closed_days,has_instagram_url,value_instagram_url,has_tags,value_tags,has_zipcode,value_zipcode,has_pet_acmpyTypeCd,value_pet_acmpyTypeCd,has_pet_acmpyNeedMtr,value_pet_acmpyNeedMtr,has_pet_acmpyPsblCpam,value_pet_acmpyPsblCpam,has_pet_etcAcmpyInfo,value_pet_etcAcmpyInfo,has_pet_relaAcdntRiskMtr,value_pet_relaAcdntRiskMtr,has_pet_relaFrnshPrdlst,value_pet_relaFrnshPrdlst,has_pet_relaPosesFclty,value_pet_relaPosesFclty,has_pet_relaPurcPrdlst,value_pet_relaPurcPrdlst,has_pet_relaRntlPrdlst,value_pet_relaRntlPrdlst,snapshot_sha256,design_version,data_note
11,kto-128345,제주허브동산,SEOGWIPO_CITY,east,동부 (표선),12,관광지,spot,KTO_OVERLAY_FOUND,6,5,11,11,24,45.83,"동반 유형: 일부구역 동반가능 | 동반 시 필요 사항: 입마개 착용,목줄 착용 | 동반 가능 동물: 전 견종 동반 가능 | 기타 동반 안내: - 목줄착용시 카페 입장 가능, 족욕장은 불가 - 맹견의 경우, 입마개 착용 필수 - 배변봉투 지참 및 배변처리 필수 | 관련 사고 위험 사항: 입장 전 동의서 작성",1,제주허브동산,1,12:관광지,1,제주특별자치도 서귀포시 표선면 돈오름로 170,0,,1,"33.3304565115,126.8155933234",0,,1,https://tong.visitkorea.or.kr/cms/resource/86/3551486_image2_1.jpg,0,,0,,0,,0,,0,,0,,0,,1,63628,1,일부구역 동반가능,1,"입마개 착용,목줄 착용",1,전 견종 동반 가능,1,"- 목줄착용시 카페 입장 가능, 족욕장은 불가 - 맹견의 경우, 입마개 착용 필수 - 배변봉투 지참 및 배변처리 필수",1,입장 전 동의서 작성,0,,0,,0,,0,,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1,Stage3 Firestore snapshot; live read blocked by RESOURCE_EXHAUSTED
12,kto-128777,돌하르방미술관,JEJU_CITY,east,동부 (조천),12,관광지,spot,KTO_OVERLAY_FOUND,6,5,11,11,24,45.83,동반 유형: 일부구역 동반가능 | 동반 시 필요 사항: 목줄 착용 | 동반 가능 동물: 전 견종 동반 가능 | 기타 동반 안내: '배변봉투 지참 및 배변처리 필수 | 관련 사고 위험 사항: 다른 인원배치를 하지는 않으나 입장시 해당 안내를 함,1,돌하르방미술관,1,12:관광지,1,제주특별자치도 제주시 조천읍 북촌서1길 70,0,,1,"33.5396035971,126.6896605755",0,,1,https://tong.visitkorea.or.kr/cms/resource/99/3077599_image2_1.jpg,0,,0,,0,,0,,0,,0,,0,,1,63339,1,일부구역 동반가능,1,목줄 착용,1,전 견종 동반 가능,1,배변봉투 지참 및 배변처리 필수,1,다른 인원배치를 하지는 않으나 입장시 해당 안내를 함,0,,0,,0,,0,,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1,Stage3 Firestore snapshot; live read blocked by RESOURCE_EXHAUSTED
13,kto-129400,김녕해수욕장,JEJU_CITY,east,동부 (구좌),12,관광지,spot,KTO_OVERLAY_FOUND,6,5,11,11,24,45.83,"동반 유형: 일부구역 동반가능 | 동반 시 필요 사항: 목줄 착용 | 동반 가능 동물: 전 견종 동반 가능 | 기타 동반 안내: - 맹견의 경우, 입마개 착용 필수- 배변봉투 지참 및 배변처리 필수 | 관련 사고 위험 사항: 전 견종 동반 가능",1,김녕해수욕장,1,12:관광지,1,제주특별자치도 제주시 구좌읍 구좌해안로 237,0,,1,"33.5572081368,126.7365512139",0,,1,https://tong.visitkorea.or.kr/cms/resource/91/3480191_image2_1.jpg,0,,0,,0,,0,,0,,0,,0,,1,63348,1,일부구역 동반가능,1,목줄 착용,1,전 견종 동반 가능,1,"- 맹견의 경우, 입마개 착용 필수- 배변봉투 지참 및 배변처리 필수",1,전 견종 동반 가능,0,,0,,0,,0,,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1,Stage3 Firestore snapshot; live read blocked by RESOURCE_EXHAUSTED
14,kto-129617,쇠소깍,SEOGWIPO_CITY,seogwipo,서귀포시,12,관광지,spot,KTO_OVERLAY_FOUND,6,5,11,11,24,45.83,"동반 유형: 일부구역 동반가능 | 동반 시 필요 사항: 목줄 착용 | 동반 가능 동물: 전 견종 동반 가능 | 기타 동반 안내: - 시설물은 동반 불가- 맹견의 경우, 입마개 착용 필수- 배변봉투 지참 및 배변처리 필수 | 관련 사고 위험 사항: 전 견종 동반 가능",1,쇠소깍,1,12:관광지,1,제주특별자치도 서귀포시 쇠소깍로 104 (하효동),0,,1,"33.253,126.6227",0,,1,https://tong.visitkorea.or.kr/cms/resource/03/3536103_image2_1.jpg,0,,0,,0,,0,,0,,0,,0,,1,63600,1,일부구역 동반가능,1,목줄 착용,1,전 견종 동반 가능,1,"- 시설물은 동반 불가- 맹견의 경우, 입마개 착용 필수- 배변봉투 지참 및 배변처리 필수",1,전 견종 동반 가능,0,,0,,0,,0,,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1,Stage3 Firestore snapshot; live read blocked by RESOURCE_EXHAUSTED
15,kto-129894,제주특별자치도 민속자연사박물관,JEJU_CITY,jeju_city,제주시,14,문화시설,spot,KTO_OVERLAY_FOUND,6,5,11,11,24,45.83,"동반 유형: 일부구역 동반가능 | 동반 시 필요 사항: 목줄 착용 | 동반 가능 동물: 전 견종 동반 가능 | 기타 동반 안내: - 박물관 내부는 동반 불가- 맹견의 경우, 입마개 착용 필수- 배변봉투 지참 및 배변처리 필수 | 관련 사고 위험 사항: 전 견종 동반 가능",1,제주특별자치도 민속자연사박물관,1,14:문화시설,1,제주특별자치도 제주시 삼성로 40,0,,1,"33.5063901549,126.5313373721",0,,1,https://tong.visitkorea.or.kr/cms/resource/80/4084080_image2_1.jpg,0,,0,,0,,0,,0,,0,,0,,1,63270,1,일부구역 동반가능,1,목줄 착용,1,전 견종 동반 가능,1,"- 박물관 내부는 동반 불가- 맹견의 경우, 입마개 착용 필수- 배변봉투 지참 및 배변처리 필수",1,전 견종 동반 가능,0,,0,,0,,0,,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1,Stage3 Firestore snapshot; live read blocked by RESOURCE_EXHAUSTED
16,kto-322836,휴애리자연생활공원,SEOGWIPO_CITY,seogwipo,서귀포시,12,관광지,spot,KTO_OVERLAY_FOUND,6,5,11,11,24,45.83,"동반 유형: 일부구역 동반가능 | 동반 시 필요 사항: 목줄 착용,반려동물 유모차 탑승,이동장(켄넬)사용 | 동반 가능 동물: 7kg 이하 동반 가능 | 기타 동반 안내: - 카페 야외테이블 이용가능- 배변봉투 지참 및 배변처리 필수 | 관련 사고 위험 사항: 7kg 이하 동반 가능",1,휴애리자연생활공원,1,12:관광지,1,제주특별자치도 서귀포시 남원읍 신례동로 256,0,,1,"33.3084870516806,126.634418419576",0,,1,https://tong.visitkorea.or.kr/cms/resource/87/4066987_image2_1.jpg,0,,0,,0,,0,,0,,0,,0,,1,63608,1,일부구역 동반가능,1,"목줄 착용,반려동물 유모차 탑승,이동장(켄넬)사용",1,7kg 이하 동반 가능,1,- 카페 야외테이블 이용가능- 배변봉투 지참 및 배변처리 필수,1,7kg 이하 동반 가능,0,,0,,0,,0,,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1,Stage3 Firestore snapshot; live read blocked by RESOURCE_EXHAUSTED
17,kto-572960,용눈이오름,JEJU_CITY,east,동부 (구좌),12,관광지,spot,KTO_OVERLAY_FOUND,6,5,11,11,24,45.83,"동반 유형: 전구역 동반가능 | 동반 시 필요 사항: 목줄 착용 | 동반 가능 동물: 전 견종 동반 가능 | 기타 동반 안내: - 맹견의 경우, 입마개 착용 필수- 배변봉투 지참 및 배변처리 필수 | 관련 사고 위험 사항: 전 견종 동반 가능",1,용눈이오름,1,12:관광지,1,제주특별자치도 제주시 구좌읍 종달논길,0,,1,"33.4587755524,126.8320410805",0,,1,https://tong.visitkorea.or.kr/cms/resource_photo/86/2610186_image2_1.jpg,0,,0,,0,,0,,0,,0,,0,,1,63364,1,전구역 동반가능,1,목줄 착용,1,전 견종 동반 가능,1,"- 맹견의 경우, 입마개 착용 필수- 배변봉투 지참 및 배변처리 필수",1,전 견종 동반 가능,0,,0,,0,,0,,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1,Stage3 Firestore snapshot; live read blocked by RESOURCE_EXHAUSTED
18,kto-572973,새별오름,JEJU_CITY,west,서부 (애월),12,관광지,spot,KTO_OVERLAY_FOUND,6,5,11,11,24,45.83,"동반 유형: 전구역 동반가능 | 동반 시 필요 사항: 목줄 착용 | 동반 가능 동물: 전 견종 동반 가능 | 기타 동반 안내: - 맹견의 경우, 입마개 착용 필수- 배변봉투 지참 및 배변처리 필수 | 관련 사고 위험 사항: 전 견종 동반 가능",1,새별오름,1,12:관광지,1,제주특별자치도 제주시 애월읍 봉성리 산 59-8,0,,1,"33.3663,126.3576",0,,1,https://tong.visitkorea.or.kr/cms/resource/28/4088628_image2_1.jpg,0,,0,,0,,0,,0,,0,,0,,1,63039,1,전구역 동반가능,1,목줄 착용,1,전 견종 동반 가능,1,"- 맹견의 경우, 입마개 착용 필수- 배변봉투 지참 및 배변처리 필수",1,전 견종 동반 가능,0,,0,,0,,0,,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1,Stage3 Firestore snapshot; live read blocked by RESOURCE_EXHAUSTED
19,kto-577461,다랑쉬오름(월랑봉),JEJU_CITY,east,동부 (구좌),12,관광지,spot,KTO_OVERLAY_FOUND,6,5,11,11,24,45.83,"동반 유형: 전구역 동반가능 | 동반 시 필요 사항: 목줄 착용 | 동반 가능 동물: 전 견종 동반 가능 | 기타 동반 안내: - 맹견의 경우, 입마개 착용 필수- 배변봉투 지참 및 배변처리 필수 | 관련 사고 위험 사항: 전 견종 동반 가능",1,다랑쉬오름(월랑봉),1,12:관광지,1,제주특별자치도 제주시 구좌읍 세화리 산6,0,,1,"33.4759678473848,126.822816539054",0,,1,https://tong.visitkorea.or.kr/cms/resource/09/3527909_image2_1.jpg,0,,0,,0,,0,,0,,0,,0,,1,63361,1,전구역 동반가능,1,목줄 착용,1,전 견종 동반 가능,1,"- 맹견의 경우, 입마개 착용 필수- 배변봉투 지참 및 배변처리 필수",1,전 견종 동반 가능,0,,0,,0,,0,,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1,Stage3 Firestore snapshot; live read blocked by RESOURCE_EXHAUSTED
20,kto-741109,카멜리아힐,SEOGWIPO_CITY,west,서부 (안덕),12,관광지,spot,KTO_OVERLAY_FOUND,6,5,11,11,24,45.83,동반 유형: 전구역 동반가능 | 동반 시 필요 사항: 목줄 착용 | 동반 가능 동물: 8kg 이하 동반 가능 | 기타 동반 안내: 배변봉투 지참 및 배변처리 필수 | 관련 사고 위험 사항: 8kg 이하 동반 가능,1,카멜리아힐,1,12:관광지,1,제주특별자치도 서귀포시 안덕면 병악로 166,0,,1,"33.2898683072143,126.368254661009",0,,1,https://tong.visitkorea.or.kr/cms/resource/84/4064284_image2_1.jpg,0,,0,,0,,0,,0,,0,,0,,1,63526,1,전구역 동반가능,1,목줄 착용,1,8kg 이하 동반 가능,1,배변봉투 지참 및 배변처리 필수,1,8kg 이하 동반 가능,0,,0,,0,,0,,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1,Stage3 Firestore snapshot; live read blocked by RESOURCE_EXHAUSTED
